Category,Make,Model,Color,Size,Serial
Fat bike,Specialized,Fatboy ,Black/Red,Small,WSBC602206910K
Fat bike,Specialized,Fatboy Comp Carbon ,Red,Large,WSBC614803094K
Fat bike,Specialized,Fatboy Comp Carbon ,Black/Red,Medium,WSBC614803080K
MTB - Performance,Specialized,Stumpjumper,Black/Red,Medium,WSBC601097274N
MTB,Giant,ATX 2,Black/Orange,Small,C64F3286
MTB,Giant,Simple 3 Mens,Grey/Blue,26,C43C0326
Road bike,Giant,Defy 3,Black/Silver,Large,GA3G0533
MTB,Giant,Talon 29er,Black,Extra Large,Gk478172
Road bike,Giant,Defy 5,Black/White/Blue,Medium/Large,GE172327
MTB,Giant,Talon 3,Black/Blue,Medium,C6CN2829
MTB,Giant,Cypress DX,Navy Blue,Large,C1AE7088
Road bike,Giant,Defy 5,Black/Red,Medium,C5AK5533
Road bike,Giant,Contend 3,Black/Grey,Small,C3BL1503
MTB,Giant,Revel W,White/Blue,Medium,C62S8437
MTB,Giant,Revel ,Black/Silver,Extra Small,C74F1744
